ticker,nom,prix,ouverture,haut,bas,cloture_veille,variation_pct,variation_1h,variation_7j,volume,market_cap,rang,ath,supply,bid,ask,devise,categorie,source,statut,collecte_le,nb_trades_24h
TTE.PA,,79.29,79.1,79.45,76.96,78.26,1.32,,,6401781,176537239200.0,,,,,,EUR,action_fr,yahoo_finance,succes,2026-05-03 18:35:16,
BN.PA,,66.74,65.8,66.84,65.7,66.16,0.88,,,1376529,42725142116.0,,,,,,EUR,action_fr,yahoo_finance,succes,2026-05-03 18:35:17,
AIR.PA,,174.88,172.42,177.72,171.82,175.32,-0.25,,,1997905,137670391889.0,,,,,,EUR,action_fr,yahoo_finance,succes,2026-05-03 18:35:19,
SAN.PA,,79.82,78.28,80.09,77.91,78.12,2.18,,,2411779,96029005925.0,,,,,,EUR,action_fr,yahoo_finance,succes,2026-05-03 18:35:20,
OR.PA,,366.05,360.8,366.05,359.4,363.8,0.62,,,467263,195391270883.0,,,,,,EUR,action_fr,yahoo_finance,succes,2026-05-03 18:35:21,
BTC-USD,Bitcoin,78744.0,,79005.0,78095.0,78463.7,0.3572,0.0832,0.8882,18328873228,1576267756185.0,1,126080.0,20023521.0,,,USD,crypto,coingecko,succes,2026-05-03 18:35:24,
ETH-USD,Ethereum,2333.39,,2334.38,2299.38,2307.79,1.1092,0.1553,-0.581,7780576343,281566109770.0,2,4946.05,120687427.1983002,,,USD,crypto,coingecko,succes,2026-05-03 18:35:24,
XRP-USD,XRP,1.4,,1.4,1.38,1.3982,0.1292,-0.0959,-2.1497,1116793077,86198268458.0,4,3.65,61796225236.0,,,USD,crypto,coingecko,succes,2026-05-03 18:35:24,
BNB-USD,BNB,620.07,,620.46,615.18,618.47,0.258,0.0491,-1.9379,656337925,83604236045.0,5,1369.99,134785991.78,,,USD,crypto,coingecko,succes,2026-05-03 18:35:24,
SOL-USD,Solana,84.23,,84.78,83.59,84.0665,0.1945,0.0455,-2.654,1654146965,48534337374.0,7,293.31,576326992.014255,,,USD,crypto,coingecko,succes,2026-05-03 18:35:24,
DOGE-USD,Dogecoin,0.108505,,0.109166,0.107208,0.109,-0.4105,0.1436,9.5947,972532446,16708995593.0,10,0.731578,154087636383.7052,,,USD,crypto,coingecko,succes,2026-05-03 18:35:24,
ADA-USD,Cardano,0.251153,,0.251903,0.247563,0.25,0.4636,0.1291,-0.2676,234016352,9282664146.0,15,3.09,36974724813.05008,,,USD,crypto,coingecko,succes,2026-05-03 18:35:24,
DOT-USD,Polkadot,1.21,,1.24,1.21,1.2113,-0.1081,0.1385,-4.2486,118434249,2038677588.0,43,54.98,1682088361.978987,,,USD,crypto,coingecko,succes,2026-05-03 18:35:24,
BTC-USD,,78765.24,78470.0,79199.48,78084.08,78470.0,0.376,,,463564309,,,,,78765.23,78765.24,USD,crypto,binance,succes,2026-05-03 18:35:27,1060441.0
ETH-USD,,2334.39,2307.95,2343.6,2297.59,2307.94,1.146,,,276394573,,,,,2334.38,2334.39,USD,crypto,binance,succes,2026-05-03 18:35:27,1086681.0
BNB-USD,,619.91,618.85,621.81,615.09,618.85,0.171,,,40179075,,,,,619.91,619.92,USD,crypto,binance,succes,2026-05-03 18:35:27,332775.0
ADA-USD,,0.2513,0.2504,0.2528,0.2475,0.2503,0.359,,,13669816,,,,,0.2512,0.2513,USD,crypto,binance,succes,2026-05-03 18:35:27,42621.0
XRP-USD,,1.3962,1.3939,1.4003,1.3814,1.3938,0.165,,,41833854,,,,,1.3962,1.3963,USD,crypto,binance,succes,2026-05-03 18:35:27,186778.0
DOGE-USD,,0.1086,0.1091,0.1094,0.1071,0.1091,-0.44,,,50671780,,,,,0.1086,0.1086,USD,crypto,binance,succes,2026-05-03 18:35:27,344862.0
SOL-USD,,84.28,84.13,84.97,83.58,84.12,0.178,,,95258303,,,,,84.27,84.28,USD,crypto,binance,succes,2026-05-03 18:35:27,312886.0
DOT-USD,,1.212,1.215,1.241,1.204,1.214,-0.247,,,3926383,,,,,1.211,1.212,USD,crypto,binance,succes,2026-05-03 18:35:27,17707.0
1rPTTE,TOTALENERGIES,79.29,79.1,79.25,77.23,78.23,1.35,,,6401658,,,,,,,EUR,action_fr,boursorama,succes,2026-05-03 18:35:30,
1rPBN,DANONE,66.74,65.8,66.84,65.7,66.1,0.97,,,1376529,,,,,,,EUR,action_fr,boursorama,succes,2026-05-03 18:35:33,
1rPAIR,AIRBUS,174.88,172.42,177.72,171.82,174.62,0.15,,,1997905,,,,,,,EUR,action_fr,boursorama,succes,2026-05-03 18:35:37,
1rPSAN,SANOFI,79.82,78.28,80.09,77.91,78.32,1.92,,,2411779,,,,,,,EUR,action_fr,boursorama,succes,2026-05-03 18:35:40,
